#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP
2630,Jorge Mercedes,MIA,0,1,1,0,0,0,0,0,1,1,0,1,1,10.93,6.78,1.61,1.33,0.233,1.78,0.289,77.50%,4.63,5.12,999
2631,Joangel Gonzalez,ARI,1,1,2.1,0,0,0,0,0,2,1,0,1,1,5.57,4.4,1.26,1.33,0.286,1.58,0.309,63.00%,5.9,5.47,999
2632,Jorge Garcia,SFG,1,1,2.1,0,0,0,0,0,3,1,0,1,1,5.74,4.18,1.37,1.41,0.274,1.6,0.292,68.00%,5.45,5.48,999
2633,Nick Kennedy,,0,1,1,0,0,0,0,0,1,1,0,1,1,5.93,4.99,1.19,1.16,0.289,1.79,0.318,68.80%,5.62,5.35,999
2634,Cooper Benson,,1,1,2,0,0,0,0,0,2,1,0,2,1,6.65,5.31,1.25,1.46,0.254,1.56,0.277,66.80%,5.52,5.73,999
2635,Kyle Crigger,,0,1,1.1,0,0,0,0,0,2,1,0,1,1,5.87,3.85,1.53,1.11,0.271,1.44,0.301,64.50%,5.14,4.89,999
2636,Ivan Armstrong,WSN,0,1,2,0,0,0,0,0,2,1,0,1,1,6.91,4.43,1.56,1.16,0.251,1.46,0.283,69.10%,4.75,4.94,999
2637,Carson Jacobs,CHW,0,1,1.1,0,0,0,0,0,1,1,0,1,1,8.45,5.64,1.5,1.34,0.241,1.51,0.284,68.10%,5.16,5.27,999
2638,Andrew Morones,KCR,0,1,1.1,0,0,0,0,0,1,1,0,1,1,5.36,3.67,1.46,1.18,0.274,1.33,0.3,57.20%,5.54,5.03,999
2639,Lyle Lin,ATH,0,1,1,0,0,0,0,0,1,1,0,1,0,6.13,3.68,1.67,1.26,0.262,1.34,0.289,62.20%,5.17,4.98,999
2640,Anthony Vizcaya,,0,1,1.1,0,0,0,0,0,1,1,0,1,1,6.95,3.69,1.88,1.34,0.259,1.43,0.288,68.30%,4.9,4.93,999
2641,Pavin Smith,ARI,0,1,1,0,0,0,0,0,1,1,0,1,0,7.84,3.65,2.15,1.56,0.27,1.63,0.301,73.40%,5.05,5.06,384.3
2642,Elian Rayo,SFG,0,1,1,0,0,0,0,0,1,1,0,1,0,7.9,4.12,1.92,1.44,0.26,1.62,0.291,74.30%,4.81,5.02,999
2643,Nathan Dettmer,ATH,1,1,2.1,0,0,0,0,0,3,1,0,2,1,7.28,4.48,1.62,1.58,0.266,1.69,0.291,73.00%,5.24,5.49,999
2644,Jordan Carr,,1,1,3.1,0,0,0,0,0,4,2,0,1,1,3.92,3.64,1.08,1.32,0.29,1.52,0.297,61.10%,5.89,5.55,999
2645,Logan Martin,KCR,1,1,4,0,0,0,0,0,4,3,1,2,2,4.44,3.77,1.18,1.36,0.288,1.48,0.3,59.20%,6.01,5.54,999
2646,Troy Miller,,1,1,2.2,0,0,0,0,0,3,2,0,2,2,7.36,4.97,1.48,1.58,0.254,1.64,0.278,72.40%,5.2,5.64,999
2647,Gabe Morales,SDP,1,1,2.1,0,0,0,0,0,2,1,0,2,2,6.98,5.85,1.19,1.27,0.262,1.65,0.296,67.10%,5.57,5.57,999
2648,Elvis Alvarado,ATH,0,22,22,1,1,0,0,1,19,10,2,24,12,9.79,5.03,1.95,1.02,0.223,1.41,0.281,74.40%,3.95,4.3,999
2649,Rodolfo Garrido,,1,1,3,0,0,0,0,0,3,2,0,2,1,5.35,4.19,1.28,1.41,0.267,1.43,0.282,61.00%,5.69,5.55,999
